raw,trend,oracle,meanp,stage,name,val,nfeat,i,avg_raw,raw_2024,trend_2024,oracle_2024,meanp_2024,raw_2023,trend_2023,oracle_2023,meanp_2023,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,epochs,shrink,nn,w
613.6987415385709,647.8607047008644,660.7213983586213,0.4969162344932556,A,base48,2024.0,46.0,,,,,,,,,,,,,,,,,,,,,,
471.1561074192461,406.3360557517992,471.95480966508717,0.49853014945983887,A,base48,2023.0,46.0,,,,,,,,,,,,,,,,,,,,,,
781.6990087819886,808.8937687011244,821.6590212185571,0.4960932731628418,A,deconv,2024.0,69.0,,,,,,,,,,,,,,,,,,,,,,
714.2178901270113,664.2751579043371,729.7449002045986,0.49372410774230957,A,deconv,2023.0,69.0,,,,,,,,,,,,,,,,,,,,,,
787.3896867733987,821.7067417887191,834.4719943061407,0.4969450533390045,A,deconv+tm,2024.0,85.0,,,,,,,,,,,,,,,,,,,,,,
705.9805281587894,653.9158705665903,719.3319686861544,0.4941845238208771,A,deconv+tm,2023.0,85.0,,,,,,,,,,,,,,,,,,,,,,
776.2171082850156,803.3462524201896,816.0995747950817,0.4960831105709076,A,deconv+cl,2024.0,74.0,,,,,,,,,,,,,,,,,,,,,,
712.5072368094454,662.695634806243,728.1415352484055,0.4937068819999695,A,deconv+cl,2023.0,74.0,,,,,,,,,,,,,,,,,,,,,,
785.8089428868898,815.5030676680997,828.2623551142509,0.4963979721069336,A,full,2024.0,90.0,,,,,,,,,,,,,,,,,,,,,,
703.7036307117162,650.3038290667785,715.6782039346998,0.494493693113327,A,full,2023.0,90.0,,,,,,,,,,,,,,,,,,,,,,
,,,,B,,,,63.0,701.0227080550878,750.6627429650691,787.7535561208626,800.6142497786084,0.49725931882858276,651.3826731451067,601.9763827293411,667.2911529520431,0.49363699555397034,900.0,0.03,5.0,600.0,0.7,0.7,200.0,10.0,,,,
,,,,B,,,,64.0,571.2958376111687,549.1149149001507,615.1780792134854,627.7405193077401,0.5001238584518433,593.4767603221869,533.0495710068161,599.2464899786554,0.5037399530410767,150.0,0.012,4.0,200.0,0.9,0.3,50.0,0.0,,,,
,,,,B,,,,65.0,708.3635255186848,721.0998497518051,737.9571411603391,750.5851970385669,0.4946977496147156,695.6272012855646,631.0396077344404,696.8490965123974,0.498201847076416,600.0,0.005,6.0,1500.0,0.5,0.3,10.0,0.0,,,,
,,,,B,,,,66.0,529.6206526721526,511.5170706864292,582.7400216481649,595.3203569562304,0.5005749464035034,547.7242346578759,490.5156961839241,556.7781802654937,0.5046979188919067,150.0,0.012,4.0,4000.0,0.5,0.3,800.0,10.0,,,,
,,,,B,,,,67.0,754.3560936783322,779.3308754878603,798.9380647517863,811.6496316277866,0.49508994817733765,729.3813118688041,675.5404358493089,741.0042176850374,0.4945777654647827,900.0,0.008,4.0,600.0,0.5,0.5,50.0,10.0,,,,
,,,,B,,,,68.0,738.1796150587095,749.0342785084092,773.9981017726327,786.709668648633,0.4958074986934662,727.3249516090096,674.521196416189,739.9968991809613,0.4943375885486603,400.0,0.02,3.0,600.0,0.7,0.7,10.0,1.0,,,,
,,,,B,,,,69.0,613.941033371218,598.1478007381247,652.8892597813307,665.4218745192453,0.4990789294242859,629.7342660043115,565.7963630859908,631.8800332319241,0.5022667050361633,150.0,0.012,5.0,600.0,0.7,0.7,800.0,0.0,,,,
,,,,B,,,,70.0,749.0873635448147,787.878822617527,811.5780507725434,824.247862149663,0.4956458508968353,710.2959044721024,651.2932661772885,716.8226131227584,0.4959131181240082,150.0,0.03,6.0,200.0,0.9,0.5,200.0,1.0,,,,
,,,,B,,,,71.0,747.095006372811,776.1157020734211,794.2077632348111,806.8596793981197,0.4948771297931671,718.0743106722009,658.5948352156868,724.2612728451392,0.49602803587913513,400.0,0.012,6.0,200.0,0.7,0.3,50.0,10.0,,,,
,,,,B,,,,72.0,741.9767455541404,780.7207370937319,789.8294009227591,802.4992122998675,0.4934820234775543,703.2327540145488,648.0567339423038,713.3238204488413,0.4949450194835663,400.0,0.03,6.0,4000.0,0.5,0.3,800.0,1.0,,,,
,,,,B,,,,73.0,464.0260824475995,427.50500692217975,532.9793971152629,545.5120118531664,0.5032775402069092,500.5471579730192,455.7900298837403,522.1717232557265,0.5072908997535706,250.0,0.005,4.0,200.0,0.9,0.3,200.0,10.0,,,,
,,,,B,,,,74.0,702.2303035998711,705.9127782988228,724.148001170688,736.7521967638346,0.4948894679546356,698.5478289009195,635.6053235576309,701.2658007225725,0.49735376238822937,600.0,0.008,3.0,200.0,0.9,0.5,800.0,10.0,,,,
,,,,B,,,,75.0,753.6248795256718,776.5929077750089,800.0475680079777,812.7352745988969,0.4956083595752716,730.6568512763345,675.9993916174323,741.4274106660401,0.49478432536125183,900.0,0.008,4.0,600.0,0.7,0.7,200.0,10.0,,,,
,,,,B,,,,76.0,757.6129607346882,793.4024786133808,819.4877352763364,832.1993021523366,0.495952844619751,721.8234428559955,669.7051410831101,735.2046857059702,0.4941690266132355,900.0,0.008,5.0,600.0,0.9,0.5,10.0,0.0,,,,
